nama_kabupaten_kota,produksi_padi,produksi_jagung,luas_panen,produksi_sayuran
KABUPATEN BEKASI,555747.09,0,0,24489.0
KABUPATEN BANDUNG BARAT,153648.29,39251,5286,0.0
KABUPATEN PANGANDARAN,148670.61,453,61,0.0
KOTA BOGOR,173.99,0,0,3579.0
KOTA CIMAHI,338.03,30,4,1209.0
KOTA BANDUNG,7186.11,0,0,4866.0
KOTA CIREBON,861.82,27,4,190.0
KOTA BEKASI,1868.44,393,52,6935.0
KOTA DEPOK,72.13,85,11,1812.0
KABUPATEN KARAWANG,1226880.08,378,50,2256.0
KOTA SUKABUMI,13254.34,91,12,42.0
KABUPATEN PURWAKARTA,188731.69,2055,273,25542.0
KABUPATEN CIAMIS,305676.17,20368,3068,21457.0
KABUPATEN INDRAMAYU,1482255.86,1715,277,29592.0
KABUPATEN SUMEDANG,298163.0,79017,9759,41850.0
KABUPATEN MAJALENGKA,566087.34,144141,16342,171386.0
KABUPATEN CIREBON,494699.98,771,102,54262.0
KABUPATEN KUNINGAN,277583.76,21627,3060,24435.0
KABUPATEN TASIKMALAYA,430961.73,23627,3571,34733.0
KABUPATEN GARUT,441316.2,603018,76256,799784.0
KABUPATEN BANDUNG,289205.7,110156,17417,732978.0
KABUPATEN CIANJUR,617941.03,63040,9026,311452.0
KABUPATEN SUKABUMI,508220.48,51619,7469,187210.0
KABUPATEN BOGOR,299893.8,927,122,145914.0
KOTA TASIKMALAYA,54233.66,31,4,0.0
KABUPATEN SUBANG,1038780.58,1621,198,35854.0
KOTA BANJAR,31271.18,606,222,5818.0
